date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:55	549/549	---M--	200	added ('OK')	text/plain	date:Thu,%2029%20Sep%202016%2019:19:55%20GMT	http://icbp.nci.nih.gov/robots.txt		(from )
15:19:55	27421/27421	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202016%2019:19:55%20GMT	http://icbp.nci.nih.gov/	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/index.html	(from )
15:19:56	3445/3445	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202016%2019:19:55%20GMT	http://icbp.nci.nih.gov/includes/interactive_map.css	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/includes/interactive_map.css	(from http://icbp.nci.nih.gov/)
15:19:56	965/965	---M--	200	added ('OK')	application/javascript	date:Thu,%2029%20Sep%202016%2019:19:56%20GMT	http://icbp.nci.nih.gov/includes/interactive_map.js	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/includes/interactive_map.js	(from http://icbp.nci.nih.gov/)
15:19:56	40941/40941	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202016%2019:19:56%20GMT	http://icbp.nci.nih.gov/portal_css/ICBP%20Theme/base-cachekey5221.css	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/portal_css/ICBP%20Theme/base-cachekey5221.css	(from http://icbp.nci.nih.gov/)
15:19:58	2618/2618	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202016%2019:19:56%20GMT	http://icbp.nci.nih.gov/portal_css/ICBP%20Theme/resourceplone.formwidget.autocompletejquery.autocomplete-cachekey0423.css	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/portal_css/ICBP%20Theme/resourceplone.formwidget.autocompletejquery.autocomplete-cachekey0423.css	(from http://icbp.nci.nih.gov/)
15:19:58	0/0	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202016%2019:19:58%20GMT	http://icbp.nci.nih.gov/portal_css/ICBP%20Theme/resourceplone.app.dexterity.overlays-cachekey7584.css	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/portal_css/ICBP%20Theme/resourceplone.app.dexterity.overlays-cachekey7584.css	(from http://icbp.nci.nih.gov/)
15:19:58	177/177	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202016%2019:19:58%20GMT	http://icbp.nci.nih.gov/portal_css/ICBP%20Theme/resourcetheme.icbp.stylesheetsmain-cachekey7250.css	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/portal_css/ICBP%20Theme/resourcetheme.icbp.stylesheetsmain-cachekey7250.css	(from http://icbp.nci.nih.gov/)
15:19:58	9032/9032	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202016%2019:19:58%20GMT	http://icbp.nci.nih.gov/portal_css/ICBP%20Theme/ploneCustom-cachekey8312.css	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/portal_css/ICBP%20Theme/ploneCustom-cachekey8312.css	(from http://icbp.nci.nih.gov/)
15:19:59	13845/13845	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202016%2019:19:58%20GMT	http://icbp.nci.nih.gov/portal_kss/ICBP%20Theme/at-cachekey5785.kss	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/portal_kss/ICBP%20Theme/at-cachekey5785.css	(from http://icbp.nci.nih.gov/)
15:20:00	78622/78622	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2029%20Sep%202016%2019:19:59%20GMT	http://icbp.nci.nih.gov/portal_javascripts/ICBP%20Theme/jquery-cachekey2624.js	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/portal_javascripts/ICBP%20Theme/jquery-cachekey2624.js	(from http://icbp.nci.nih.gov/)
15:20:02	63964/63964	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2029%20Sep%202016%2019:20:00%20GMT	http://icbp.nci.nih.gov/portal_javascripts/ICBP%20Theme/jquery-integration-cachekey3788.js	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/portal_javascripts/ICBP%20Theme/jquery-integration-cachekey3788.js	(from http://icbp.nci.nih.gov/)
15:20:04	20029/20029	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2029%20Sep%202016%2019:20:02%20GMT	http://icbp.nci.nih.gov/portal_javascripts/ICBP%20Theme/resourceplone.formwidget.autocompletejquery.autocomplete.min-cachekey0100.js	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/portal_javascripts/ICBP%20Theme/resourceplone.formwidget.autocompletejquery.autocomplete.min-cachekey0100.js	(from http://icbp.nci.nih.gov/)
15:20:04	608/608	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Sep%202016%2019:20:04%20GMT	http://icbp.nci.nih.gov/touch_icon.png	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/touch_icon.png	(from http://icbp.nci.nih.gov/)
15:20:04	5430/5430	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2029%20Sep%202016%2019:20:04%20GMT	http://icbp.nci.nih.gov/favicon.ico	C:/site_migration/icbp_site2/ICBP2/icbp.nci.nih.gov/favicon.ico	(from http://icbp.nci.nih.gov/)
